شناسه,شعر,معنی
373,"خیز تا خرقه صوفی به خرابات بریم_x000D_
شطح و طامات به بازار خرافات بریم_x000D_
سوی رندان قلندر به ره آورد سفر_x000D_
دلق بسطامی و سجاده طامات بریم_x000D_
تا همه خلوتیان جام صبوحی گیرند_x000D_
چنگ صبحی به در پیر مناجات بریم_x000D_
با تو آن عهد که در وادی ایمن بستیم_x000D_
همچو موسی ارنی گوی به میقات بریم_x000D_
کوس ناموس تو بر کنگره عرش زنیم_x000D_
علم عشق تو بر بام سماوات بریم_x000D_
خاک کوی تو به صحرای قیامت فردا_x000D_
همه بر فرق سر از بهر مباهات بریم_x000D_
ور نهد در ره ما خار ملامت زاهد_x000D_
از گلستانش به زندان مکافات بریم_x000D_
شرممان باد ز پشمینه آلوده خویش_x000D_
گر بدین فضل و هنر نام کرامات بریم_x000D_
قدر وقت ار نشناسد دل و کاری نکند_x000D_
بس خجالت که از این حاصل اوقات بریم_x000D_
فتنه می بارد از این سقف مقرنس برخیز_x000D_
تا به میخانه پناه از همه آفات بریم_x000D_
در بیابان فنا گم شدن آخر تا کی_x000D_
ره بپرسیم مگر پی به مهمات بریم_x000D_
حافظ آب رخ خود بر در هر سفله مریز_x000D_
حاجت آن به که بر قاضی حاجات بریم_x000D_
",عهدی را که در گذشته بسته اید و به قول هایی که داده اید، علیرغم پیمان شکنی دیگران باز هم پایبند هستید. قسم خورده اید تا قیامت عهد خودتان را نشکنید هر چند که ممکن است همگان به شما سخت بگیرند. از هنرتان استفاده کنید تا قدر جوانیتان را بدانید. از فتنه و آشوب پرهیز کنید. بزرگان به شما کمک می کنند. 
374,"بیا تا گل برافشانیم و می در ساغر اندازیم_x000D_
فلک را سقف بشکافیم و طرحی نو دراندازیم_x000D_
اگر غم لشکر انگیزد که خون عاشقان ریزد_x000D_
من و ساقی به هم تازیم و بنیادش براندازیم_x000D_
شراب ارغوانی را گلاب اندر قدح ریزیم_x000D_
نسیم عطرگردان را شکر در مجمر اندازیم_x000D_
چو در دست است رودی خوش بزن مطرب سرودی خوش_x000D_
که دست افشان غزل خوانیم و پاکوبان سر اندازیم_x000D_
صبا خاک وجود ما بدان عالی جناب انداز_x000D_
بود کآن شاه خوبان را نظر بر منظر اندازیم_x000D_
یکی از عقل می لافد یکی طامات می بافد_x000D_
بیا کاین داوری ها را به پیش داور اندازیم_x000D_
بهشت عدن اگر خواهی بیا با ما به میخانه_x000D_
که از پای خمت روزی به حوض کوثر اندازیم_x000D_
سخندانی و خوشخوانی نمی ورزند در شیراز_x000D_
بیا حافظ که تا خود را به ملکی دیگر اندازیم_x000D_
",یک دست صدا ندارد بلکه باید متحد شوید تا بتوانید پیروز شوید و بنیاد ظلم و ستم از بین ببرید. در این زمان است که به حاجات خودتان می رسید. با فردی عالی مقام ملاقات می کنید که او به شما کمک کرده و راهنمایی تان می کند. مطمئن باشید به نیات خودتان می رسید به شرط آنکه از خداوند دور نشوید. 
375,"صوفی بیا که خرقه سالوس برکشیم_x000D_
وین نقش زرق را خط بطلان به سر کشیم_x000D_
نذر و فتوح صومعه در وجه می نهیم_x000D_
دلق ریا به آب خرابات برکشیم_x000D_
فردا اگر نه روضه رضوان به ما دهند_x000D_
غلمان ز روضه حور ز جنت به درکشیم_x000D_
بیرون جهیم سرخوش و از بزم صوفیان_x000D_
غارت کنیم باده و شاهد به بر کشیم_x000D_
عشرت کنیم ور نه به حسرت کشندمان_x000D_
روزی که رخت جان به جهانی دگر کشیم_x000D_
سر خدا که در تتق غیب منزویست_x000D_
مستانه اش نقاب ز رخسار برکشیم_x000D_
کو جلوه ای ز ابروی او تا چو ماه نو_x000D_
گوی سپهر در خم چوگان زر کشیم_x000D_
حافظ نه حد ماست چنین لاف ها زدن_x000D_
پای از گلیم خویش چرا بیشتر کشیم_x000D_
",بیشتر با خدا باشید. از کارهای ناشایست پرهیز کنید همه ی کارها با پول حل نمی شود. روزی می رسد که می بینید برای آخرت توشه ای غیر از گناه ندارید. عجله کنید و دست از گناه بردارید. خوشگذرانی گناه نیست به شرط اینکه معصیت در ان نباشد. این گوی و این میدان بسم الله بگوئید و طمع هم نکنید و پایتان را از گلیمتان درازتر نکنید. 
376,"دوستان وقت گل آن به که به عشرت کوشیم_x000D_
سخن اهل دل است این و به جان بنیوشیم_x000D_
نیست در کس کرم و وقت طرب می گذرد_x000D_
چاره آن است که سجاده به می بفروشیم_x000D_
خوش هواییست فرح بخش خدایا بفرست_x000D_
نازنینی که به رویش می گلگون نوشیم_x000D_
ارغنون ساز فلک رهزن اهل هنر است_x000D_
چون از این غصه ننالیم و چرا نخروشیم_x000D_
گل به جوش آمد و از می نزدیمش آبی_x000D_
لاجرم ز آتش حرمان و هوس می جوشیم_x000D_
می کشیم از قدح لاله شرابی موهوم_x000D_
چشم بد دور که بی مطرب و می مدهوشیم_x000D_
حافظ این حال عجب با که توان گفت که ما_x000D_
بلبلانیم که در موسم گل خاموشیم_x000D_
",الان وقت کار و تلاش است. وقت برای تفریح زیاد دارید به چاره ی کار بیاندیشید. اگر دیر اقدام کنید هر آنچه ساخته اید تباه می شود. از هوی های نفسانی پرهیز کنید. خدا با شماست و در همه حال کمکتان می کند. 
377,"ما شبی دست برآریم و دعایی بکنیم_x000D_
غم هجران تو را چاره ز جایی بکنیم_x000D_
دل بیمار شد از دست رفیقان مددی_x000D_
تا طبیبش به سر آریم و دوایی بکنیم_x000D_
آن که بی جرم برنجید و به تیغم زد و رفت_x000D_
بازش آرید خدا را که صفایی بکنیم_x000D_
خشک شد بیخ طرب راه خرابات کجاست_x000D_
تا در آن آب و هوا نشو و نمایی بکنیم_x000D_
مدد از خاطر رندان طلب ای دل ور نه_x000D_
کار صعب است مبادا که خطایی بکنیم_x000D_
سایه طایر کم حوصله کاری نکند_x000D_
طلب از سایه میمون همایی بکنیم_x000D_
دلم از پرده بشد حافظ خوشگوی کجاست_x000D_
تا به قول و غزلش ساز نوایی بکنیم_x000D_
",شما را به خاطر کاری که نکرده اید متهم کرده اند. دست به دعا بردارید، فقط اوست که می تواند به شما کمک کند و مرهم دل بیمارتان باشد. در موقعیتی قرار می گیرید که باید خودتان را و هنرهایتان را نشان دهید نکند که خطا رفته باشید و دوباره همه چیز را خراب کنید. حوصله به خرج دهید. همای سعادت روی شانه های شما نشسته است به شرطی که به خدا بیشتر نزدیک شوید. 
378,"ما نگوییم بد و میل به ناحق نکنیم_x000D_
جامه کس سیه و دلق خود ازرق نکنیم_x000D_
عیب درویش و توانگر به کم و بیش بد است_x000D_
کار بد مصلحت آن است که مطلق نکنیم_x000D_
رقم مغلطه بر دفتر دانش نزنیم_x000D_
سر حق بر ورق شعبده ملحق نکنیم_x000D_
شاه اگر جرعه رندان نه به حرمت نوشد_x000D_
التفاتش به می صاف مروق نکنیم_x000D_
خوش برانیم جهان در نظر راهروان_x000D_
فکر اسب سیه و زین مغرق نکنیم_x000D_
آسمان کشتی ارباب هنر می شکند_x000D_
تکیه آن به که بر این بحر معلق نکنیم_x000D_
گر بدی گفت حسودی و رفیقی رنجید_x000D_
گو تو خوش باش که ما گوش به احمق نکنیم_x000D_
حافظ ار خصم خطا گفت نگیریم بر او_x000D_
ور به حق گفت جدل با سخن حق نکنیم_x000D_
",با غیبت کردن و تهمت زدن به دیگران کاری از پیش نمی برید. هر کسی ایرادی دارد بنابراین بزرگوار و خطاپوش باشید. حرمت خود و دیگران را حفظ کنید. از تجملات بپرهیزید. با تکیه بر مال دنیا به جایی نمی رسید. به حرف نادانان گوش ندهید هر چه می کشید از رفیق حسود می باشد. با حرف حق جدل نکن و آن را قبول کن. 
379,"سرم خوش است و به بانگ بلند می گویم_x000D_
که من نسیم حیات از پیاله می جویم_x000D_
عبوس زهد به وجه خمار ننشیند_x000D_
مرید خرقه دردی کشان خوش خویم_x000D_
شدم فسانه به سرگشتگی و ابروی دوست_x000D_
کشید در خم چوگان خویش چون گویم_x000D_
گرم نه پیر مغان در به روی بگشاید_x000D_
کدام در بزنم چاره از کجا جویم_x000D_
مکن در این چمنم سرزنش به خودرویی_x000D_
چنان که پرورشم می دهند می رویم_x000D_
تو خانقاه و خرابات در میانه مبین_x000D_
خدا گواه که هر جا که هست با اویم_x000D_
غبار راه طلب کیمیای بهروزیست_x000D_
غلام دولت آن خاک عنبرین بویم_x000D_
ز شوق نرگس مست بلندبالایی_x000D_
چو لاله با قدح افتاده بر لب جویم_x000D_
بیار می که به فتوی حافظ از دل پاک_x000D_
غبار زرق به فیض قدح فروشویم_x000D_
",از آنچه که دارید راضی هستید و خداوند را شکر می گویید. تنها آرزویتان سلامتی برای خود و اطرافیانتان می باشد. هر موقع که سرگشته شده اید به خداوند پناه آورده و آرام گرفته اید. گواه شما همیشه خداست. طلب خود را از خدا می خواهید. هر روزتان بهتر از روز قبل می شود. زیرا دلتان پاک است. 
380,"بارها گفته ام و بار دگر می گویم_x000D_
که من دلشده این ره نه به خود می پویم_x000D_
در پس آینه طوطی صفتم داشته اند_x000D_
آن چه استاد ازل گفت بگو می گویم_x000D_
من اگر خارم و گر گل چمن آرایی هست_x000D_
که از آن دست که او می کشدم می رویم_x000D_
دوستان عیب من بی دل حیران مکنید_x000D_
گوهری دارم و صاحب نظری می جویم_x000D_
گر چه با دلق ملمع می گلگون عیب است_x000D_
مکنم عیب کز او رنگ ریا می شویم_x000D_
خنده و گریه عشاق ز جایی دگر است_x000D_
می سرایم به شب و وقت سحر می مویم_x000D_
حافظم گفت که خاک در میخانه مبوی_x000D_
گو مکن عیب که من مشک ختن می بویم_x000D_
",مرحبا بر شما که اصول و احکام خداوند را مو به مو انجام می دهید ولی هر گاه از خدا چیزی خواسته اید به شما نداده است و دوستان از شما خرده می گیرند. گوهر شما ایمان شماست. ناراحت نباشید این جزئی از وجودتان می باشد. روزی می رسد که قدرتان را بدانند هم اکنون نیز همراهی دارید که قدرتان را می داند. 
381,"گر چه ما بندگان پادشهیم_x000D_
پادشاهان ملک صبحگهیم_x000D_
گنج در آستین و کیسه تهی_x000D_
جام گیتی نما و خاک رهیم_x000D_
هوشیار حضور و مست غرور_x000D_
بحر توحید و غرقه گنهیم_x000D_
شاهد بخت چون کرشمه کند_x000D_
ماش آیینه رخ چو مهیم_x000D_
شاه بیدار بخت را هر شب_x000D_
ما نگهبان افسر و کلهیم_x000D_
گو غنیمت شمار صحبت ما_x000D_
که تو در خواب و ما به دیده گهیم_x000D_
شاه منصور واقف است که ما_x000D_
روی همت به هر کجا که نهیم_x000D_
دشمنان را ز خون کفن سازیم_x000D_
دوستان را قبای فتح دهیم_x000D_
رنگ تزویر پیش ما نبود_x000D_
شیر سرخیم و افعی سیهیم_x000D_
وام حافظ بگو که بازدهند_x000D_
کرده ای اعتراف و ما گوهیم_x000D_
",گنج بزرگی در کنارتان هست که نسبت با آن بی اهمیت هستید. آنقدر مغرور شده اید که به اطراف و زیر پای خودتان نگاه نمی کنید. همنشینی با دوستان تان را غنیمت بدانید و از خواب غفلت بیدار شوید. دشمنی را کر بگذارید تا بتوانید پیروز شوید و به نیات خودتان برسید باید مانند شیری باشید تا بتوانید دشمنان را که همچون ماری شما را نیش می زنند از بین ببرید. 
382,"فاتحه ای چو آمدی بر سر خسته ای بخوان_x000D_
لب بگشا که می دهد لعل لبت به مرده جان_x000D_
آن که به پرسش آمد و فاتحه خواند و می رود_x000D_
گو نفسی که روح را می کنم از پی اش روان_x000D_
ای که طبیب خسته ای روی زبان من ببین_x000D_
کاین دم و دود سینه ام بار دل است بر زبان_x000D_
گر چه تب استخوان من کرد ز مهر گرم و رفت_x000D_
همچو تبم نمی رود آتش مهر از استخوان_x000D_
حال دلم ز خال تو هست در آتشش وطن_x000D_
چشمم از آن دو چشم تو خسته شده ست و ناتوان_x000D_
بازنشان حرارتم ز آب دو دیده و ببین_x000D_
نبض مرا که می دهد هیچ ز زندگی نشان_x000D_
آن که مدام شیشه ام از پی عیش داده است_x000D_
شیشه ام از چه می برد پیش طبیب هر زمان_x000D_
حافظ از آب زندگی شعر تو داد شربتم_x000D_
ترک طبیب کن بیا نسخه شربتم بخوان_x000D_
",خواهان زیادی دارید کسانی هستند که محتاج شما می باشند آنها را از خودتان دور نکنید. شما هم از کشی دور افتاده اید و تنها امیدتان وصال یار می باشد و تنها چیزی که زندگیتان را دوباره تضمین می کند همین است. دست به دعا برداشته اید امید داشته باشید که انشاالله به وصال می رسید. 
383,"چندان که گفتم غم با طبیبان_x000D_
درمان نکردند مسکین غریبان_x000D_
آن گل که هر دم در دست بادیست_x000D_
گو شرم بادش از عندلیبان_x000D_
یا رب امان ده تا بازبیند_x000D_
چشم محبان روی حبیبان_x000D_
درج محبت بر مهر خود نیست_x000D_
یا رب مبادا کام رقیبان_x000D_
ای منعم آخر بر خوان جودت_x000D_
تا چند باشیم از بی نصیبان_x000D_
حافظ نگشتی شیدای گیتی_x000D_
گر می شنیدی پند ادیبان_x000D_
",تنها درمان دردتان رهائی از غربت است. باید کمی صبر کنید چون چاره ای غیر از این ندارید. زمانی روی دوست را می بینید که همه ی رقیبان را از میدان به در کرده باشید. شکایت را کار بگذارید، به پند بزرگان توجه کنید. مطمئن باشید گه از وصال یار بی نصیب نخواهید ماند. 
384,"می سوزم از فراقت روی از جفا بگردان_x000D_
هجران بلای ما شد یا رب بلا بگردان_x000D_
مه جلوه می نماید بر سبز خنگ گردون_x000D_
تا او به سر درآید بر رخش پا بگردان_x000D_
مر غول را برافشان یعنی به رغم سنبل_x000D_
گرد چمن بخوری همچون صبا بگردان_x000D_
یغمای عقل و دین را بیرون خرام سرمست_x000D_
در سر کلاه بشکن در بر قبا بگردان_x000D_
ای نور چشم مستان در عین انتظارم_x000D_
چنگ حزین و جامی بنواز یا بگردان_x000D_
دوران همی نویسد بر عارضش خطی خوش_x000D_
یا رب نوشته بد از یار ما بگردان_x000D_
حافظ ز خوبرویان بختت جز این قدر نیست_x000D_
گر نیستت رضایی حکم قضا بگردان_x000D_
",از جفای روزگار شکایت می کنید کارهایتان آن طور که می خواهید پیش نمی رود. خیلی تلاش می کنید تا خواسته هایتان بر وفق مرادتان باشد اما باید ساخت. فعلا تقدیر برای شما اینچنین رقم زده است. همیشه باید رضایتان به رضای خدا باشد، اینطور آرامش روحی و روانیتان زیاد می شود. 
385,"یا رب آن آهوی مشکین به ختن بازرسان_x000D_
وان سهی سرو خرامان به چمن بازرسان_x000D_
دل آزرده ما را به نسیمی بنواز_x000D_
یعنی آن جان ز تن رفته به تن بازرسان_x000D_
ماه و خورشید به منزل چو به امر تو رسند_x000D_
یار مه روی مرا نیز به من بازرسان_x000D_
دیده ها در طلب لعل یمانی خون شد_x000D_
یا رب آن کوکب رخشان به یمن بازرسان_x000D_
برو ای طایر میمون همایون آثار_x000D_
پیش عنقا سخن زاغ و زغن بازرسان_x000D_
سخن این است که ما بی تو نخواهیم حیات_x000D_
بشنو ای پیک خبرگیر و سخن بازرسان_x000D_
آن که بودی وطنش دیده حافظ یا رب_x000D_
به مرادش ز غریبی به وطن بازرسان_x000D_
",چشم به راه کسی هستید که برایتان بسیار مهم است. مدت هاست از او خبری ندارید. و برای پیدا کردنش بسیار جستجو کرده اید اما هنوز نتیجه ای نگرفته اید ولی همیشه به خدا توکل کرده و یادتان را از خدا طلب نموده اید. آسوده خاطر باشید دیدار یار حتمی است. 
386,"خدا را کم نشین با خرقه پوشان_x000D_
رخ از رندان بی سامان مپوشان_x000D_
در این خرقه بسی آلودگی هست_x000D_
خوشا وقت قبای می فروشان_x000D_
در این صوفی وشان دردی ندیدم_x000D_
که صافی باد عیش دردنوشان_x000D_
تو نازک طبعی و طاقت نیاری_x000D_
گرانی های مشتی دلق پوشان_x000D_
چو مستم کرده ای مستور منشین_x000D_
چو نوشم داده ای زهرم منوشان_x000D_
بیا و از غبن این سالوسیان بین_x000D_
صراحی خون دل و بربط خروشان_x000D_
ز دلگرمی حافظ بر حذر باش_x000D_
که دارد سینه ای چون دیگ جوشان_x000D_
",هر قدر به خدا نزدیکتر شوید درد زمانه را کمتر حس می کنید و هر قدر هم درویشانه زندگی کنید بهتر سر و سامان می گیرید. اما شما فردی عجول و بی طاقت هستید و هر ضرری که می بینید به خاطر عجله ی بی مورد خودتان می باشد. زیاد حرص می خورید از این مسئله حذر کنید. خدا هر چه که لایق آن باشید به شما می دهد. 
387,"شاه شمشادقدان خسرو شیرین دهنان_x000D_
که به مژگان شکند قلب همه صف شکنان_x000D_
مست بگذشت و نظر بر من درویش انداخت_x000D_
گفت ای چشم و چراغ همه شیرین سخنان_x000D_
تا کی از سیم و زرت کیسه تهی خواهد بود_x000D_
بنده من شو و برخور ز همه سیمتنان_x000D_
کمتر از ذره نه ای پست مشو مهر بورز_x000D_
تا به خلوتگه خورشید رسی چرخ زنان_x000D_
بر جهان تکیه مکن ور قدحی می داری_x000D_
شادی زهره جبینان خور و نازک بدنان_x000D_
پیر پیمانه کش من که روانش خوش باد_x000D_
گفت پرهیز کن از صحبت پیمان شکنان_x000D_
دامن دوست به دست آر و ز دشمن بگسل_x000D_
مرد یزدان شو و فارغ گذر از اهرمنان_x000D_
با صبا در چمن لاله سحر می گفتم_x000D_
که شهیدان که اند این همه خونین کفنان_x000D_
گفت حافظ من و تو محرم این راز نه ایم_x000D_
از می لعل حکایت کن و شیرین دهنان_x000D_
",به شما می گویند که چرا به دنبال پول و ثروت نمی روید و همیشه دم از شعر و عاشقی می زنید. در جواب می گویید زندگی مرفه بدون عشق معنا ندارد و به این سخن خود معتقد هستید. به دنیای فانی تکیه نمی کنید. خوشی را در پرهیز از گناه می دانید و معتقدید که باید مرد خدا بود. 
388,"بهار و گل طرب انگیز گشت و توبه شکن_x000D_
به شادی رخ گل بیخ غم ز دل برکن_x000D_
رسید باد صبا غنچه در هواداری_x000D_
ز خود برون شد و بر خود درید پیراهن_x000D_
طریق صدق بیاموز از آب صافی دل_x000D_
به راستی طلب آزادگی ز سرو چمن_x000D_
ز دستبرد صبا گرد گل کلاله نگر_x000D_
شکنج گیسوی سنبل ببین به روی سمن_x000D_
عروس غنچه رسید از حرم به طالع سعد_x000D_
به عینه دل و دین می برد به وجه حسن_x000D_
صفیر بلبل شوریده و نفیر هزار_x000D_
برای وصل گل آمد برون ز بیت حزن_x000D_
حدیث صحبت خوبان و جام باده بگو_x000D_
به قول حافظ و فتوی پیر صاحب فن_x000D_
",همت داشته باش. دست از غم بردار و به شادی بپرداز الان وقت پایکوبی است نه گوشه نشینی. طریق راستی و درستی را پیشه کن. آزاده باش و حرف دلت را بزن آنطور که می خواهی باش. طالع شما بسیار مبارک است خبر خوشی به شما می دهند که تمام حزن ها و غم ها یادتان می رود. 
420,"ناگهان پرده برانداخته ای یعنی چه_x000D_
مست از خانه برون تاخته ای یعنی چه_x000D_
زلف در دست صبا گوش به فرمان رقیب_x000D_
این چنین با همه درساخته ای یعنی چه_x000D_
شاه خوبانی و منظور گدایان شده ای_x000D_
قدر این مرتبه نشناخته ای یعنی چه_x000D_
نه سر زلف خود اول تو به دستم دادی_x000D_
بازم از پای درانداخته ای یعنی چه_x000D_
سخنت رمز دهان گفت و کمر سر میان_x000D_
و از میان تیغ به ما آخته ای یعنی چه_x000D_
هر کس از مهره مهر تو به نقشی مشغول_x000D_
عاقبت با همه کج باخته ای یعنی چه_x000D_
حافظا در دل تنگت چو فرود آمد یار_x000D_
خانه از غیر نپرداخته ای یعنی چه_x000D_
",تغییر حالت شما همه را در بهت و حیرت فرو برده است. گاهی با رقیبان هم داستانید، گاهی با دوستان، قدر روزگار خود را نمی دانید و با همه سر جنگ و دعوا دارید. اطرافیانتان روی شما حساب می کنند ولی افسوس که همه را پراکنده نموده اید. مشکل شما و دل تسلی تان زمان درمان می شود که به خدا و بعد به خودتان بپردازید. 
421,"در سرای مغان رفته بود و آب زده_x000D_
نشسته پیر و صلایی به شیخ و شاب زده_x000D_
سبوکشان همه در بندگیش بسته کمر_x000D_
ولی ز ترک کله چتر بر سحاب زده_x000D_
شعاع جام و قدح نور ماه پوشیده_x000D_
عذار مغبچگان راه آفتاب زده_x000D_
عروس بخت در آن حجله با هزاران ناز_x000D_
شکسته کسمه و بر برگ گل گلاب زده_x000D_
گرفته ساغر عشرت فرشته رحمت_x000D_
ز جرعه بر رخ حور و پری گلاب زده_x000D_
ز شور و عربده شاهدان شیرین کار_x000D_
شکر شکسته سمن ریخته رباب زده_x000D_
سلام کردم و با من به روی خندان گفت_x000D_
که ای خمارکش مفلس شراب زده_x000D_
که این کند که تو کردی به ضعف همت و رای_x000D_
ز گنج خانه شده خیمه بر خراب زده_x000D_
وصال دولت بیدار ترسمت ندهند_x000D_
که خفته ای تو در آغوش بخت خواب زده_x000D_
بیا به میکده حافظ که بر تو عرضه کنم_x000D_
هزار صف ز دعاهای مستجاب زده_x000D_
فلک جنیبه کش شاه نصره الدین است_x000D_
بیا ببین ملکش دست در رکاب زده_x000D_
خرد که ملهم غیب است بهر کسب شرف_x000D_
ز بام عرش صدش بوسه بر جناب زده_x000D_
",خانه شما به زودی مجلس بزم و عروسی خواهد شد و همه به شوق این وصال کمر همت بسته اند. وصلت فرخنده ای است. مواظب عده ی باشید که می خواهند همه چیز را خراب کنند. از چیز نترسید دولت بخت با شماست و دعاهایتان مستجاب شده با کمی عقل و خرد همه کارهایتان نیز رو به راه می شود. 
422,"ای که با سلسله زلف دراز آمده ای_x000D_
فرصتت باد که دیوانه نواز آمده ای_x000D_
ساعتی ناز مفرما و بگردان عادت_x000D_
چون به پرسیدن ارباب نیاز آمده ای_x000D_
پیش بالای تو میرم چه به صلح و چه به جنگ_x000D_
چون به هر حال برازنده ناز آمده ای_x000D_
آب و آتش به هم آمیخته ای از لب لعل_x000D_
چشم بد دور که بس شعبده بازآمده ای_x000D_
آفرین بر دل نرم تو که از بهر ثواب_x000D_
کشته غمزه خود را به نماز آمده ای_x000D_
زهد من با تو چه سنجد که به یغمای دلم_x000D_
مست و آشفته به خلوتگه راز آمده ای_x000D_
گفت حافظ دگرت خرقه شراب آلوده ست_x000D_
مگر از مذهب این طایفه بازآمده ای_x000D_
",آفرین بر شما که هر کاری را حتی نیت کردن در دل را از بهر ثواب انجام می دهید و هیچ لذتی را بالاتر از خواندن نماز نمی دانید. بسیار صبور هستید و با همه کس کنار می آیید. نیازتان را جز خدا به احدی نگفته اید. رازتان را هم به کسی نگویید که هدف نزدیک و مرادتان در راه است. 
423,"دوش رفتم به در میکده خواب آلوده_x000D_
خرقه تردامن و سجاده شراب آلوده_x000D_
آمد افسوس کنان مغبچه باده فروش_x000D_
گفت بیدار شو ای ره رو خواب آلوده_x000D_
شست و شویی کن و آن گه به خرابات خرام_x000D_
تا نگردد ز تو این دیر خراب آلوده_x000D_
به هوای لب شیرین پسران چند کنی_x000D_
جوهر روح به یاقوت مذاب آلوده_x000D_
به طهارت گذران منزل پیری و مکن_x000D_
خلعت شیب چو تشریف شباب آلوده_x000D_
پاک و صافی شو و از چاه طبیعت به درآی_x000D_
که صفایی ندهد آب تراب آلوده_x000D_
گفتم ای جان جهان دفتر گل عیبی نیست_x000D_
که شود فصل بهار از می ناب آلوده_x000D_
آشنایان ره عشق در این بحر عمیق_x000D_
غرقه گشتند و نگشتند به آب آلوده_x000D_
گفت حافظ لغز و نکته به یاران مفروش_x000D_
آه از این لطف به انواع عتاب آلوده_x000D_
",از خواب غفلت بیدار شو که بسیار دیر شده و عقب مانده ای رخوت و کسالت را کنار بگذار و جوهر خویش را که همانا همت و مردانگی است نشان بده. توبه را برای زمان پیری نگذار در جوانی پاک بودن هنر است. هیچ کس بی عیب نیست و خرده نگیر. 
424,"از من جدا مشو که توام نور دیده ای_x000D_
آرام جان و مونس قلب رمیده ای_x000D_
از دامن تو دست ندارند عاشقان_x000D_
پیراهن صبوری ایشان دریده ای_x000D_
از چشم بخت خویش مبادت گزند از آنک_x000D_
در دلبری به غایت خوبی رسیده ای_x000D_
منعم مکن ز عشق وی ای مفتی زمان_x000D_
معذور دارمت که تو او را ندیده ای_x000D_
آن سرزنش که کرد تو را دوست حافظا_x000D_
بیش از گلیم خویش مگر پا کشیده ای_x000D_
",اینقدر سنگدل نباش. غرور کاذب خویش را دور بریز کسانی هستند که تو را بسیار دوست می دارند تو هم از محبت خود بخشش کن که اگر غفلت کنی در آینده خود را سرزنش خواهی کرد. زیاده روی باعث ضرر است و پشیمانی به بار می آورد. 
425,"دامن کشان همی شد در شرب زرکشیده_x000D_
صد ماه رو ز رشکش جیب قصب دریده_x000D_
از تاب آتش می بر گرد عارضش خوی_x000D_
چون قطره های شبنم بر برگ گل چکیده_x000D_
لفظی فصیح شیرین قدی بلند چابک_x000D_
رویی لطیف زیبا چشمی خوش کشیده_x000D_
یاقوت جان فزایش از آب لطف زاده_x000D_
شمشاد خوش خرامش در ناز پروریده_x000D_
آن لعل دلکشش بین وان خنده دل آشوب_x000D_
وان رفتن خوشش بین وان گام آرمیده_x000D_
آن آهوی سیه چشم از دام ما برون شد_x000D_
یاران چه چاره سازم با این دل رمیده_x000D_
زنهار تا توانی اهل نظر میازار_x000D_
دنیا وفا ندارد ای نور هر دو دیده_x000D_
تا کی کشم عتیبت از چشم دلفریبت_x000D_
روزی کرشمه ای کن ای یار برگزیده_x000D_
گر خاطر شریفت رنجیده شد ز حافظ_x000D_
بازآ که توبه کردیم از گفته و شنیده_x000D_
بس شکر بازگویم در بندگی خواجه_x000D_
گر اوفتد به دستم آن میوه رسیده_x000D_
",چیزی را از دست داده اید که بسیار برایتان مهم بوده است حال می فهمید که قدر چه یاقوت گرانبهایی را ندانسته اید و به دنبال چاره اید. باز هم خدا را شاکر باشید که دوباره همه چیز مثل سابق می شود و گمشده تان بر می گردد. 
426,"از خون دل نوشتم نزدیک دوست نامه_x000D_
انی رایت دهرا من هجرک القیامه_x000D_
دارم من از فراقش در دیده صد علامت_x000D_
لیست دموع عینی هذا لنا العلامه_x000D_
هر چند کآزمودم از وی نبود سودم_x000D_
من جرب المجرب حلت به الندامه_x000D_
پرسیدم از طبیبی احوال دوست گفتا_x000D_
فی بعدها عذاب فی قربها السلامه_x000D_
گفتم ملامت آید گر گرد دوست گردم_x000D_
و الله ما راینا حبا بلا ملامه_x000D_
حافظ چو طالب آمد جامی به جان شیرین_x000D_
حتی یذوق منه کاسا من الکرامه_x000D_
",برای کسی که حتی از جانتان هم عزیزتر است پیغامی فرستاده اید که می ترسید به دستش نرسد حتی تا قیامت همه می دانند که تنها دردتان فراق و دوری از اوست و به هر کس می رسید احوال او را جویا می شوید و برای او سلامی در غربت می فرستید. خدا کریم است و طلب تو را هم می داند و این از جان شیرین تر را به تو می رساند. 
